"cls_final","subject_name","V1","V2"
"cls_1","Physics and Astronomy",130.513650480721,238.857431170826
"cls_10","Materials Science",130.047893002797,225.866919992584
"cls_100","Physics and Astronomy",129.856973652282,211.946268725233
"cls_101","Physics and Astronomy",137.538359469415,230.853890746887
"cls_102","Biochemistry, Genetics and Molecular Biology",122.381048686012,201.760661217157
"cls_103","Medicine",127.288454878582,191.458100466767
"cls_104","Medicine",129.560025424384,197.790301410464
"cls_105","Biochemistry, Genetics and Molecular Biology",127.686786462074,211.445540396815
"cls_106","Materials Science",140.597509449326,214.402794283514
"cls_107","Medicine",139.345512871229,188.81533702629
"cls_108","Biochemistry, Genetics and Molecular Biology",136.206151412526,205.971399398548
"cls_109","Medicine",138.800902932327,204.464957637826
"cls_11","Physics and Astronomy",108.795040518455,230.314200770134
"cls_110","Chemistry",138.216921602334,215.668550631293
"cls_111","Medicine",139.164936285432,192.844258929705
"cls_112","Medicine",137.645951051677,198.229145408126
"cls_113","Computer Science",100.577935780975,208.956097948465
"cls_114","Environmental Science",115.937498515083,215.600262734704
"cls_115","Biochemistry, Genetics and Molecular Biology",133.807300217851,207.167613545011
"cls_116","Medicine",141.663841225579,194.815900432473
"cls_117","Materials Science",136.052180533073,228.440964809095
"cls_118","Biochemistry, Genetics and Molecular Biology",123.322113883679,193.299666627524
"cls_119","Biochemistry, Genetics and Molecular Biology",125.289271031391,196.312806099139
"cls_12","Chemistry",146.981683364498,220.485051323239
"cls_120","Agricultural and Biological Sciences",115.419432559114,206.827839036739
"cls_121","Medicine",131.76208978586,191.712584707292
"cls_122","Physics and Astronomy",123.628575117084,233.739542578882
"cls_123","Biochemistry, Genetics and Molecular Biology",132.849026722096,207.732579132158
"cls_124","Immunology and Microbiology",122.464502758124,206.336940935693
"cls_125","Materials Science",131.506508950459,227.555030568536
"cls_126","Engineering",105.201163998045,213.858149565442
"cls_127","Medicine",126.34420295218,193.586076034708
"cls_128","Medicine",137.639487700323,194.100077633696
"cls_129","Medicine",116.854610696227,198.410232815475
"cls_13","Biochemistry, Genetics and Molecular Biology",132.075433883686,207.265182946487
"cls_130","Medicine",138.524264180635,209.059016125145
"cls_131","Medicine",134.481731567775,193.483611458997
"cls_132","Materials Science",130.709396855354,221.593075823134
"cls_133","Biochemistry, Genetics and Molecular Biology",133.362057690266,200.128540776926
"cls_134","Biochemistry, Genetics and Molecular Biology",137.624123294355,205.429746186174
"cls_135","Biochemistry, Genetics and Molecular Biology",130.161316214378,200.575432624513
"cls_136","Materials Science",121.637168091268,226.685596227074
"cls_137","Biochemistry, Genetics and Molecular Biology",132.586272040722,209.39866352835
"cls_138","Medicine",132.367329417311,196.99714851242
"cls_139","Medicine",123.562289405793,193.089062617505
"cls_14","Medicine",145.190532616132,200.875120880796
"cls_140","Medicine",137.820052719978,182.994166441362
"cls_141","Medicine",112.679056083896,195.53942747306
"cls_142","Physics and Astronomy",124.269239746493,228.253091985838
"cls_143","Medicine",129.767936346284,194.79385694564
"cls_144","Physics and Astronomy",113.513296050911,233.149450591887
"cls_145","Engineering",106.9468123688,207.558361607272
"cls_146","Medicine",125.686583287506,194.550837176081
"cls_147","Agricultural and Biological Sciences",117.459184640334,213.139947156139
"cls_148","Physics and Astronomy",107.618616621221,225.796152281283
"cls_149","Biochemistry, Genetics and Molecular Biology",121.132992299401,211.729237185492
"cls_15","Physics and Astronomy",115.262225022842,235.827211897139
"cls_150","Biochemistry, Genetics and Molecular Biology",125.035598683518,209.77785553849
"cls_151","Physics and Astronomy",107.65489385577,230.415673116812
"cls_152","Materials Science",132.892282545608,228.311092686984
"cls_153","Computer Science",104.18103521538,196.87027583176
"cls_154","Biochemistry, Genetics and Molecular Biology",124.263840816654,205.263881855617
"cls_155","Computer Science",101.489719735781,209.847223969939
"cls_156","Engineering",103.525678948855,208.146193393771
"cls_157","Biochemistry, Genetics and Molecular Biology",141.269586674921,205.898571875114
"cls_158","Medicine",138.696628888301,207.361138632215
"cls_159","Medicine",137.974717486332,198.374267139991
"cls_16","Physics and Astronomy",105.596074371707,222.471127642641
"cls_160","Physics and Astronomy",118.185013710454,226.548125083523
"cls_161","Medicine",132.152656542634,189.203940927303
"cls_162","Medicine",141.061405886022,198.960048655382
"cls_163","Medicine",115.229751426592,203.497222857036
"cls_164","Medicine",134.911720439382,191.403729260758
"cls_165","Medicine",135.009916983398,195.851361093713
"cls_166","Medicine",124.895203066798,186.766690494787
"cls_167","Materials Science",132.94767074257,215.645066220598
"cls_168","Biochemistry, Genetics and Molecular Biology",127.407014630259,209.308854996634
"cls_169","Medicine",133.064626042192,195.142385372743
"cls_17","Physics and Astronomy",103.7321743064,229.79063066256
"cls_170","Neuroscience",115.891812499159,204.004230354538
"cls_171","Medicine",122.743081079669,192.079927777337
"cls_172","Medicine",126.497203876545,190.489452238837
"cls_173","Chemistry",138.557161514807,214.888476393758
"cls_174","Physics and Astronomy",113.241863910414,237.479958120562
"cls_175","Computer Science",113.820208089598,207.156104569623
"cls_176","Materials Science",131.016446228406,221.481705644759
"cls_177","Medicine",129.176984758685,199.336287143283
"cls_178","Engineering",108.342763344441,209.776468118707
"cls_179","Biochemistry, Genetics and Molecular Biology",128.261766469383,208.198847783814
"cls_18","Medicine",137.852298672402,193.11082149956
"cls_180","Physics and Astronomy",141.006066740991,230.519898585639
"cls_181","Materials Science",133.179031576749,209.625801330891
"cls_182","Chemistry",139.567006273392,222.903707953941
"cls_183","Biochemistry, Genetics and Molecular Biology",132.660102704558,201.252877647253
"cls_184","Computer Science",103.117865924644,194.900107665757
"cls_185","Agricultural and Biological Sciences",117.643939199869,196.138577964356
"cls_186","Earth and Planetary Sciences",126.072184069082,203.943137761225
"cls_187","Biochemistry, Genetics and Molecular Biology",126.129263848799,203.337903526261
"cls_188","Medicine",135.816599776152,187.455740562087
